state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
New York,2007,10.4326001,60018,19132335,Northeast,300,5115,264696.2063,3037604,390014,1591215,258450,1214362
North Carolina,2007,16.93346934,45440,9118037,West,112,3178,152022.4276,1995167,117236,927230,827974,244475
North Dakota,2007,80.42008388,44385,652822,Midwest,200,7000,445638.5303,617812,31570,142422,420719,62188
Ohio,2007,23.49469604,44399,11500468,Midwest,650,10512,518740.1645,3585642,82153,1312026,1463773,836185
Oklahoma,2007,30.12919233,39716,3634349,West,2391,49269,3117090.934,1614875,81356,571232,373217,677472
Oregon,2007,11.73968419,46504,3722417,South,124,2350,103744.308,680928,401467,380807,45461,260240
Pennsylvania,2007,22.12682219,46330,12563937,Northeast,771,21074,1162557.07,3677314,119312,1419352,1491907,780240
Rhode Island,2007,10.49829048,47137,1057315,Northeast,24,262,12331.56797,177490,6345,90777,39,90259
South Carolina,2007,19.98150361,37724,4444110,West,69,1302,60184.42545,1160953,97703,537401,444046,182201
South Dakota,2007,17.55886325,44017,791623,Midwest,59,1169,51234.26075,205081,69248,120595,33256,54100
Tennessee,2007,20.8720366,41172,6175727,West,143,4357,174447.505,1677048,125736,790796,672766,229520
Texas,2007,26.27981062,48954,23831983,West,6123,214750,12965274.81,11212346,245485,6030305,1609155,3626526
Utah,2007,27.10041705,45293,2597746,South,409,11302,680266.3219,922340,14162,302950,391386,231125
Vermont,2007,10.42533774,41472,623481,Northeast,51,0,42463.09934,95797,19003,87230,34,8876
Virginia,2007,16.50109663,52657,7751000,West,218,10262,533145.2735,1749424,135643,978988,458200,331110
Washington,2007,12.64395264,55348,6461587,South,160,4488,220614.8344,1196576,893317,831532,95737,279429
West Virginia,2007,63.19341,33892,1834052,West,529,27865,1684671.395,1343488,26792,236451,983259,124555
Wisconsin,2007,18.67834657,45464,5610775,Midwest,138,3280,168541.431,1454889,141103,601865,465083,403947
Wyoming,2007,124.3278816,65471,534876,South,764,26984,1783370.5,810531,18888,170572,494955,145985
Alabama,2008,29.58751695,36976,4718206,West,206,7672,474852.5486,1824747,237139,571400,842826,414260
Alaska,2008,57.3128423,67527,687455,South,111,8803,929649.7046,635787,14630,278859,14705,343938
Arizona,2008,16.28886997,41800,6280362,South,177,10975,756179.078,1412471,112256,563277,458727,409966
Arkansas,2008,22.33389945,34957,2874554,West,346,7302,458277.7287,873000,125677,358032,278849,238424
California,2008,10.53973468,54454,36604337,South,666,22698,1940597.137,6098017,682506,3645452,63050,2472612
Colorado,2008,19.83749614,51651,4889730,South,1183,25878,2383963.108,1381399,77389,494870,385416,514880
Connecticut,2008,10.63296009,68777,3545579,Northeast,54,876,60767.03254,555629,36571,350733,45188,169802
Delaware,2008,18.32840427,62535,883874,West,11,186,16468.20062,223597,5776,115779,60891,49752
District of Columbia,2008,5.342653679,170687,580236,West,2,0,0,51661,549,18991,391,32774
Florida,2008,12.8728922,41241,18527305,West,227,6313,394616.0315,3384799,248966,1768655,693161,970038
Georgia,2008,18.1381218,44239,9504843,West,123,5808,308207.5512,2270680,198186,975818,885849,436093
Hawaii,2008,14.56223592,50833,1332213,South,9,235,19502.36719,257548,19557,242490,18095,2817
Idaho,2008,10.16737056,36691,1534320,South,132,2907,175712.6217,251986,132818,155140,8604,90550
Illinois,2008,18.94557779,51406,12747038,Midwest,489,8735,534906.1285,3384723,154029,1320001,1103163,1014508
Indiana,2008,35.82987564,43515,6424806,Midwest,201,6099,373178.5735,2893709,97877,802249,1558078,558591
Iowa,2008,29.56840079,46413,3016734,Midwest,64,1684,84081.78769,1209120,212379,434715,485218,329030
Kansas,2008,26.60184411,46050,2808076,Midwest,975,11070,618238.5917,1014707,57580,359493,371804,292523
Kentucky,2008,35.99169953,37875,4289878,West,568,22359,1385701.381,1905673,70366,662981,1024816,233180
Louisiana,2008,51.85335151,46578,4435586,West,1247,52052,3799303.663,3842130,113478,2213959,262470,1369823
Maine,2008,14.35540834,38508,1330509,Northeast,27,0,6030.468335,282683,186727,206393,5908,74494
Maryland,2008,12.98161026,52877,5684965,West,68,1603,82361.92841,1020565,60086,523903,309294,202931
Massachusetts,2008,11.85660709,60723,6468967,Northeast,83,1253,95458.16855,1145441,60450,640945,106897,415260
Michigan,2008,17.6336541,39863,9946889,Midwest,361,5727,369724.9047,2436176,157589,869921,799969,797534
Minnesota,2008,19.11561958,51234,5247018,Midwest,128,5270,419161.3928,1439665,177344,666845,359359,435134
Mississippi,2008,22.01637421,33128,2947806,West,341,5369,345087.8708,964633,49886,426046,177166,364237
Missouri,2008,23.17723614,43118,5923916,Midwest,168,4386,243769.6255,1768269,83048,696726,792918,298427
Montana,2008,37.791308,37636,976415,South,314,6834,476987.9243,473582,125401,194966,203260,77645
Nebraska,2008,25.94108812,47770,1796378,Midwest,112,884,44130.43318,627601,84134,224859,234654,172886
Nevada,2008,15.41284957,49286,2653630,South,211,11447,974069.106,623335,44726,266230,88619,274915
New Hampshire,2008,14.2107415,47842,1315906,Northeast,40,312,19818.23938,275624,43608,165065,40241,74025
New Jersey,2008,14.78575012,57784,8711090,Northeast,81,1591,101721.8044,1950974,50731,1245935,97671,635200
New Mexico,2008,28.05046298,41207,2010662,South,620,18549,1199963.555,779600,36355,245212,284346,252831
New York,2008,9.889427868,58532,19212436,Northeast,289,4678,267626.4452,2917269,426864,1517710,228985,1205144
North Carolina,2008,16.02672725,45567,9309449,West,106,3371,151395.4456,1930539,167087,910508,794693,249654
North Dakota,2008,80.44783133,48379,657569,Midwest,220,6203,493830.7872,622446,42795,139967,424615,65746
Ohio,2008,22.88241884,43548,11515391,Midwest,644,9663,528107.4032,3496915,114480,1270454,1438432,823936
Oklahoma,2008,30.58073969,40048,3668976,West,2524,47517,3631554.608,1644119,86860,554234,391688,711379
Oregon,2008,11.35655661,48508,3768748,South,121,1905,101387.9962,672998,418368,366737,41408,274659
Pennsylvania,2008,21.39977014,46862,12612285,Northeast,809,21052,1301577.743,3583247,145077,1413877,1421091,778379
Rhode Island,2008,10.14215125,45746,1055003,Northeast,24,201,10661.93179,180980,6263,93092,0,91220
South Carolina,2008,19.09915575,36834,4528996,West,70,1220,53871.65236,1125231,106704,518602,445454,175858
South Dakota,2008,18.77055376,45516,799124,Midwest,59,1062,64996.92978,221557,81741,116313,43098,65453
Tennessee,2008,19.60812247,40949,6247411,West,147,4052,199111.0779,1598539,149002,738176,643796,238441
Texas,2008,24.29960312,48282,24309039,West,6401,181505,15759942.45,10556714,346784,5361112,1605925,3653462
Utah,2008,26.09810107,43375,2663029,South,415,10514,729228.3052,912984,17739,283466,395878,237414
Vermont,2008,9.452840739,41764,624151,Northeast,46,0,0,86292,28816,79394,0,8667
Virginia,2008,14.89756298,51985,7833496,West,209,10671,601060.9242,1598053,140796,895586,415102,310740
Washington,2008,12.00811127,54939,6562231,South,158,3298,224299.1445,1170135,896971,786115,94601,307085
West Virginia,2008,60.69629573,34679,1840310,West,521,28934,2014288.026,1297325,33521,226341,955628,119617
Wisconsin,2008,18.6491889,44622,5640996,Midwest,134,2575,173234.4698,1455637,159229,579423,480712,415109
Wyoming,2008,122.5178237,69182,546043,South,757,25250,1930820.046,817404,22412,171394,500109,147129
Alabama,2009,25.22100961,35376,4757938,West,197,7703,455235,1616408,273645,528300,630969,466272
Alaska,2009,54.08537763,72204,698895,South,113,10470,1022272,622050,17640,265529,14505,343971
Arizona,2009,14.72453609,38232,6343154,South,164,11957,625117,1290735,96619,519423,413260,377504
Arkansas,2009,21.26452832,33837,2896843,West,350,8212,513156,848957,130225,342770,264083,248100
California,2009,10.06730593,51733,36961229,South,636,22125,1830669,5860272,729654,3498217,52403,2391374
Colorado,2009,18.68390117,49731,4972195,South,1155,25127,1942041,1343445,78258,475644,350224,533677
Connecticut,2009,10.07915364,65574,3561807,Northeast,50,745,68138,554500,41870,351790,26265,188571
Delaware,2009,13.4569881,64313,891730,West,7,34,2374,171701,6627,89161,33938,51652
District of Columbia,2009,5.403324395,166178,592228,West,3,0,0,57197,607,23093,331,34339
Florida,2009,12.02510486,38695,18652644,West,214,5114,288924,3244666,281008,1640422,581517,1081725
Georgia,2009,16.90080062,42052,9620846,West,121,5304,267439,2194257,220407,1029885,723449,475294
Hawaii,2009,14.03412892,48549,1346717,South,10,223,19465,256596,20082,242984,17083,2712
Idaho,2009,9.778447401,34664,1554439,South,112,2354,147051,240653,136232,147877,8443,87072
Illinois,2009,17.6919534,49859,12796778,Midwest,485,8608,509473,3173965,179247,1241282,1014972,968495
Indiana,2009,32.13958115,40572,6459325,Midwest,191,5874,336036,2627541,117202,775197,1365413,514548
Iowa,2009,27.72951033,45195,3032870,Midwest,62,1901,87119,1148739,288623,428121,444574,317392
Kansas,2009,25.73512799,43770,2832704,Midwest,950,9419,465070,996449,65990,356708,356079,292425
Kentucky,2009,33.44858115,36209,4317074,West,543,22690,1333889,1794419,83868,659899,937106,214279
Louisiana,2009,47.79982759,46949,4491648,West,1251,50500,3402757,3633639,117926,2076733,252519,1315265
Maine,2009,13.83885258,37910,1329590,Northeast,26,98,4368,278447,153482,208454,1652,73569
Maryland,2009,12.30283185,52515,5730388,West,62,1484,68087,980342,66621,527992,266860,203780
Massachusetts,2009,10.78615745,59178,6517613,Northeast,75,1193,87917,1073197,69014,592182,92056,408519
Michigan,2009,16.60339232,36676,9901591,Midwest,345,5738,323729,2293042,148912,841680,735907,750783
Minnesota,2009,17.53388385,48884,5281203,Midwest,124,4703,322301,1330347,201492,617410,328678,405564
Mississippi,2009,20.58284952,31658,2958774,West,341,5252,297463,913849,56261,407976,141675,371245
Missouri,2009,21.99262953,42012,5961088,Midwest,163,3666,191496,1679585,90829,665883,765617,266721
Montana,2009,33.43557098,36667,983982,South,299,6044,382443,432394,116424,185586,172812,76635
Nebraska,2009,26.09391714,47973,1812683,Midwest,114,934,45427,632343,86249,221989,249593,165436
Nevada,2009,14.67594653,44774,2684665,South,200,11291,951359,605886,54550,245352,83812,284007
New Hampshire,2009,12.99291392,47265,1316102,Northeast,34,181,11032,249365,49886,158965,32844,62049
New Jersey,2009,12.74612528,55067,8755602,Northeast,75,1354,87716,1730521,66476,1064968,59563,638792
New Mexico,2009,28.13233687,40670,2036802,South,602,17424,1025394,781685,32909,231692,306162,247947
New York,2009,9.007065082,59481,19307066,Northeast,287,3626,217346,2711932,407898,1430972,155965,1166620
North Carolina,2009,14.07472047,43160,9449566,West,110,3097,117584,1733522,179823,833325,678673,252729
North Dakota,2009,77.29695264,48858,664968,Midwest,223,6920,522324,603518,63549,131100,423267,57565
Ohio,2009,20.68714992,41593,11528896,Midwest,630,9784,505081,3166937,112821,1168426,1267267,771303
Oklahoma,2009,28.64773029,38640,3717572,West,2500,43778,2994310,1561134,91424,518820,373271,681062
Oregon,2009,10.73885417,47530,3808600,South,114,1352,73740,638287,422540,361588,33150,254837
Pennsylvania,2009,19.3418131,45312,12666858,Northeast,818,20519,1309929,3314430,163624,1288171,1223937,839666
Rhode Island,2009,10.6297561,45280,1053646,Northeast,21,135,8903,186688,7380,95655,0,94877
South Carolina,2009,17.75648646,34955,4589872,West,67,1104,45742,1084091,121753,533437,371981,197419
South Dakota,2009,18.33800663,45457,807067,Midwest,56,854,49155,219477,105828,119074,37480,66317
Tennessee,2009,16.25431195,39096,6306019,West,133,3348,143345,1358786,191345,684427,477713,223019
Texas,2009,22.45001877,47034,24801761,West,6252,170230,13490704,10101667,348443,5189414,1497854,3481133
Utah,2009,23.79360371,41563,2723421,South,422,10068,618052,853943,20315,269648,364994,223646
Vermont,2009,9.922905427,40855,624817,Northeast,42,0,0,93326,34196,87239,0,8681
Virginia,2009,13.33596268,51389,7925937,West,198,10215,567268,1478445,144844,843296,334605,330625
Washington,2009,11.50368973,52264,6667426,South,151,2845,196301,1138883,852600,755562,84048,319739
West Virginia,2009,48.43663325,34564,1847775,West,506,31552,2022911,1053756,50836,197962,742922,118643
Wisconsin,2009,16.98633191,43215,5669264,Midwest,128,2275,164386,1339038,152900,540717,425941,392485
Wyoming,2009,113.9588926,66320,559851,South,739,24682,1662027,785244,34967,165605,473912,147220
Alabama,2010,27.73156431,35915,4785161,West,201,7242,466794.2831,1785688,254251,545829,718684,544405
Alaska,2010,54.20008655,69565,714021,South,123,10847,1190101.052,634777,18440,287167,14548,334978
Arizona,2010,14.85594725,37936,6408208,South,174,10414,648676.9051,1292346,101545,518036,457909,336208
Arkansas,2010,22.55000524,34667,2922394,West,357,8823,551248.9923,909827,131442,354185,293689,274774
California,2010,9.803375624,51869,37334079,South,610,21425,1936320.982,5741492,836453,3488195,54972,2325411
Colorado,2010,18.91743165,49258,5048254,South,1162,23611,2153883.357,1370758,80056,492890,382623,510877
Connecticut,2010,10.11253124,64909,3579717,Northeast,50,956,88089.09527,562060,41232,342653,28711,203814
Delaware,2010,13.11415651,62838,899791,West,8,43,2689.878554,171414,7473,88973,30253,56087
District of Columbia,2010,5.288154864,168046,605126,West,4,0,0,58155,1097,25370,71,33717
Florida,2010,12.84357628,38603,18849890,West,214,4854,291046.0402,3491560,296222,1732832,637416,1180462
Georgia,2010,17.70739842,42029,9713454,West,120,4856,256547.905,2324200,237923,1050436,767906,541691
Hawaii,2010,14.00313788,49416,1363980,South,8,137,9926.18315,259018,19028,244523,17117,2732
Idaho,2010,10.18468656,34621,1570986,South,105,2444,162664.8467,250946,129327,160693,8527,85075
Illinois,2010,18.01226656,50305,12841249,Midwest,477,8024,516333.6997,3225698,196431,1234767,1069037,974412
Indiana,2010,33.69493374,42996,6490590,Midwest,184,6162,374782.5302,2770123,136242,767259,1449371,580752
Iowa,2010,28.94423367,45884,3050694,Midwest,62,1661,87360.05357,1187456,339199,428342,493794,312941
Kansas,2010,25.46501638,44244,2858824,Midwest,942,9159,478000.4706,997849,73644,366241,359908,280413
Kentucky,2010,34.77511289,37585,4347937,West,508,21192,1350070.117,1874296,78833,642601,1009823,239062
Louisiana,2010,51.74973284,48600,4544951,West,1271,49736,3525435.116,3974821,124917,2252279,259750,1483201
Maine,2010,13.63264906,38353,1327695,Northeast,23,82,4324.073243,277354,156802,198948,2279,80988
Maryland,2010,11.93764988,53677,5788409,West,58,1267,69724.32823,963419,68834,502856,266067,217744
Massachusetts,2010,10.93672601,60813,6565036,Northeast,73,1039,81497.22025,1107941,71472,601120,83850,447429
Michigan,2010,16.76559821,38764,9877369,Midwest,334,5242,339223.7919,2305457,150757,831256,749285,758696
Minnesota,2010,17.39817127,50151,5310903,Midwest,127,5164,439302.2288,1337325,219504,621840,315438,427198
Mississippi,2010,22.15252519,31688,2970316,West,321,5044,317805.1173,999309,72189,420439,148463,444875
Missouri,2010,22.53149239,42204,5996052,Midwest,159,3386,187712.988,1721620,93702,660556,801625,282141
Montana,2010,35.0277547,37733,990643,South,322,5962,443935.2347,447231,115870,173422,203339,72888
Nebraska,2010,27.212743,49569,1830025,Midwest,109,889,46782.63542,666348,128012,247772,254552,169620
Nevada,2010,13.87121593,44586,2703440,South,218,10922,996274.346,577325,56783,236701,80228,267808
New Hampshire,2010,12.60719917,48394,1316708,Northeast,39,210,13864.58251,242475,48812,152051,33827,62612
New Jersey,2010,12.9829106,55022,8803881,Northeast,66,1255,86720.54331,1772767,71029,1066511,71961,671474
New Mexico,2010,25.81437575,40297,2064741,South,593,14575,1053691.545,737539,38526,231842,267474,246201
New York,2010,8.993491701,61267,19402920,Northeast,259,3919,251289.1629,2733286,397680,1388377,167094,1224485
North Carolina,2010,14.93883395,43140,9558979,West,122,2848,128085.051,1869784,182663,844293,749091,308710
North Dakota,2010,77.38721777,52185,674530,Midwest,254,8396,718249.7186,622237,86097,151683,409684,70046
Ohio,2010,21.61901558,42668,11540766,Midwest,610,9043,495853.6294,3304252,118803,1176192,1355137,810958
Oklahoma,2010,28.27431458,38303,3759596,West,2525,41007,3258929.544,1571983,103938,541137,346047,697351
Oregon,2010,10.60455887,49602,3837972,South,114,1456,70567.49791,628380,399046,353084,42556,242914
Pennsylvania,2010,20.1620294,46388,12712014,Northeast,836,22685,1651350.289,3469617,176847,1289372,1310670,909263
Rhode Island,2010,10.44417163,46337,1053219,Northeast,21,144,8139.48986,184732,6842,92465,0,95710
South Carolina,2010,18.22733652,35126,4635894,West,63,999,49779.4789,1124533,125585,512593,404966,225961
South Dakota,2010,18.49812385,45606,816299,Midwest,58,868,50849.9207,226232,130159,118128,39061,72926
Tennessee,2010,17.2734259,39370,6356585,West,129,3306,159696.5353,1461432,171629,706456,515464,263365
Texas,2010,23.35174787,47417,25244363,West,6313,162655,14893488.61,10741110,451762,5569322,1568060,3689583
Utah,2010,23.05952311,41499,2775426,South,432,9369,633140.7412,847682,22424,267485,356148,229078
Vermont,2010,9.425161026,42170,625984,Northeast,43,0,0,90299,32526,84168,0,8502
Virginia,2010,13.54384311,51945,8025787,West,195,8926,577100.9487,1535604,136482,836687,346161,385931
Washington,2010,11.21152711,52681,6743060,South,146,2868,201487.0552,1115899,829145,743871,94934,294871
West Virginia,2010,53.82302579,35368,1854225,West,510,30091,2062701.984,1165405,48203,201659,848129,121780
Wisconsin,2010,17.3280255,44126,5690204,Midwest,128,2330,163562.1288,1361165,170158,548730,458442,376627
Wyoming,2010,115.6743122,64602,564516,South,729,23581,1812222.54,805265,45598,168001,484239,154759
Alabama,2011,27.05625451,36192,4801108,West,195,7809,509936.3248,1783839,266186,545476,651032,609288
Alaska,2011,53.27097631,70573,722720,South,126,11188,1238710.137,635981,17653,282607,15481,339819
Arizona,2011,14.42322854,38248,6468732,South,191,11160,731939.3295,1253992,130710,520885,459909,293134
Arkansas,2011,22.90254542,35158,2938538,West,363,9890,628745.7535,932878,126775,349910,306119,288906
California,2011,9.347471676,52067,37700034,South,624,22579,2071511.108,5550201,954915,3422328,55264,2196252
Colorado,2011,17.93150867,49274,5119480,South,1179,25006,2468515.051,1304903,105974,472021,368871,481614
Connecticut,2011,9.694244098,63640,3589759,Northeast,51,1022,89173.35762,557282,41559,327620,6081,236016
Delaware,2011,14.20836289,63793,907916,West,13,0,7377.305381,201518,7618,105570,17881,81710
District of Columbia,2011,4.996196444,166872,620472,West,4,0,0,55887,1275,23455,48,33389
Florida,2011,11.99129069,37859,19105533,West,210,4751,293623.4304,3357837,303477,1629177,552730,1235953
Georgia,2011,15.9697848,42137,9812280,West,121,5001,273736.6568,2142535,237791,1011058,634756,532310
Hawaii,2011,14.14861267,49318,1378227,South,7,138,10110.77108,265505,21608,252497,16080,2744
Idaho,2011,9.973903723,34270,1584134,South,109,2561,180622.3779,247718,176337,160125,7846,83947
Illinois,2011,17.8978473,51191,12861882,Midwest,489,8189,528286.597,3212010,199964,1212034,1052224,997722
Indiana,2011,32.36228574,43056,6516845,Midwest,187,6373,407504.8001,2712351,146221,767583,1333442,638237
Iowa,2011,27.89205546,46520,3065389,Midwest,60,1902,100782.4799,1155743,345864,429127,463138,309672
Kansas,2011,24.73939142,45469,2869917,Midwest,938,9513,516493.3997,970721,78472,347667,346521,285318
Kentucky,2011,34.18132633,37939,4367882,West,479,21816,1402920.276,1846216,83151,623652,1010623,229056
Louisiana,2011,51.95195766,45712,4575381,West,1310,53185,3923775.567,4015581,125916,2229381,269993,1536147
Maine,2011,13.25044777,37779,1328257,Northeast,25,0,0,268118,159755,196506,1542,75061
Maryland,2011,11.01952698,54203,5844171,West,59,1314,71871.26364,900614,78611,482582,241190,199223
Massachusetts,2011,10.28464728,61770,6611797,Northeast,71,1003,75013.89082,1073354,73459,589985,42963,464018
Michigan,2011,16.23029975,39756,9876589,Midwest,330,5591,377809.5961,2253650,164147,809737,691150,787337
Minnesota,2011,17.22100798,50879,5348119,Midwest,134,5587,496971.9147,1329595,229156,613398,315604,424978
Mississippi,2011,20.44997329,31169,2977999,West,339,5367,358746.8679,944952,72286,413072,107546,437873
Missouri,2011,22.4936433,41599,6010587,Midwest,163,3592,204595.9975,1719891,89507,641262,825650,275308
Montana,2011,31.87183913,38544,997746,South,345,6522,491009.03,422616,142704,180532,165687,79470
Nebraska,2011,28.33287107,51357,1842383,Midwest,112,963,50838.07482,690557,143760,237166,285384,173666
Nevada,2011,12.4318684,44548,2718819,South,226,11484,979164.4209,529486,58857,218234,62701,255970
New Hampshire,2011,12.28814331,48509,1318344,Northeast,37,182,14669.72645,242846,50174,151343,24489,72778
New Jersey,2011,13.03865889,54292,8842934,Northeast,70,1206,85244.8352,1794240,74360,1102214,49592,677923
New Mexico,2011,26.80170492,40158,2078226,South,625,16643,1162681.449,768020,41804,239500,284737,251838
New York,2011,8.446360387,61173,19523202,Northeast,254,4335,276568.3594,2620842,428810,1292068,125181,1247757
North Carolina,2011,13.30428633,43223,9651025,West,120,2856,142979.5222,1704725,181072,801102,624783,311189
North Dakota,2011,78.35686958,57079,685326,Midwest,335,14862,1302430.599,652742,104089,189095,394771,77752
Ohio,2011,20.58821135,44190,11545442,Midwest,593,9080,645207.5881,3188336,125575,1155372,1222606,849076
Oklahoma,2011,28.52143306,39957,3786626,West,2621,48619,4077861.582,1576848,108308,533939,378320,676910
Oregon,2011,9.616107911,51260,3868509,South,113,1341,72412.04349,572458,519065,343949,35135,203607
Pennsylvania,2011,19.52107154,46868,12745202,Northeast,869,29288,2101101.399,3412240,198017,1238080,1212984,1000509
Rhode Island,2011,10.45770524,46036,1051856,Northeast,20,138,7972.449344,185371,6580,86068,0,102465
South Carolina,2011,17.16340309,35609,4672733,West,62,1029,52423.21787,1077992,127455,495497,366160,235465
South Dakota,2011,17.71223442,47979,824289,Midwest,54,1031,59403.76061,218924,154573,116506,32112,73973
Tennessee,2011,16.61350761,40188,6398408,West,127,3436,167067.5926,1427048,184941,702641,481127,267929
Texas,2011,23.72686485,48339,25654464,West,6600,186950,17717323.25,10979933,512066,5586043,1695239,3800578
Utah,2011,22.90125122,41987,2816440,South,442,10755,790005.9237,858627,30921,288470,346181,230672
Vermont,2011,9.255018853,43127,626687,Northeast,41,384,22525.81751,88836,31707,82539,0,8679
Virginia,2011,12.29227807,51749,8110783,West,195,9814,646763.1647,1431388,130623,790369,288348,383527
Washington,2011,10.30303981,52495,6823229,South,142,2839,216455.9578,1042446,1069230,731570,56951,272261
West Virginia,2011,52.40039074,36085,1854948,West,499,33413,2435996.728,1138906,50365,197414,822645,124935
Wisconsin,2011,17.11117183,44905,5709720,Midwest,131,2330,162970.2553,1359984,169762,534121,447370,399247
Wyoming,2011,113.0743543,63981,567768,South,728,27001,2038207.844,797726,61348,170473,467671,161776
Alabama,2012,25.58092261,36424,4816089,West,204,9388,575843.1951,1740315,252908,537165,547004,677380
Alaska,2012,51.96737543,73464,731228,South,154,12833,1400302.586,629768,19569,268901,15521,347228
Arizona,2012,13.93199295,38537,6553262,South,188,10839,776277.9433,1248032,117667,507789,420570,339043
Arkansas,2012,22.41058566,34979,2949499,West,354,9488,583568.0372,918078,118119,332481,296732,300572
California,2012,9.386154188,52912,38056055,South,639,24459,2070924.837,5687343,824642,3306900,43832,2456371
Colorado,2012,17.47008849,49622,5191731,South,1218,28958,2731520.771,1282352,107361,469974,370085,461056
Connecticut,2012,9.489247514,63506,3593541,Northeast,51,1111,93974.52063,544358,38069,310763,9290,236260
Delaware,2012,15.15648801,62166,917099,West,11,114,10071.16818,221203,7049,102918,17384,104421
District of Columbia,2012,4.2496797,163270,635342,West,3,0,0,49025,1073,20354,77,29389
Florida,2012,11.51300942,37690,19352021,West,214,3961,236258.5045,3327632,305300,1559797,482984,1348390
Georgia,2012,13.76335638,42179,9917639,West,116,5071,267497.0667,1946907,230129,923640,435546,625008
Hawaii,2012,13.64314278,49484,1392641,South,7,100,8257.460861,256754,23417,242926,16572,2813
Idaho,2012,9.8364949,34090,1596097,South,118,2736,177758.2675,248082,155409,157231,5186,90339
Illinois,2012,16.90075166,52154,12875167,Midwest,484,8849,550813.8473,3044403,211643,1174412,969294,950711
Indiana,2012,30.05376182,43060,6538283,Midwest,193,6025,371769.8193,2562415,143597,739057,1193465,657719
Iowa,2012,26.00242603,47995,3076636,Midwest,66,2063,95962.9643,1092732,358766,416956,422595,299315
Kansas,2012,22.93608973,45498,2886281,Midwest,971,10270,561027.0472,913457,89061,346080,307585,268086
Kentucky,2012,31.62457928,38071,4382667,West,446,20933,1210259.512,1735259,75057,610568,909705,232702
Louisiana,2012,49.02603919,45479,4603676,West,1364,54434,4001470.97,3886754,122350,2080412,238811,1586439
Maine,2012,11.88964006,37705,1328888,Northeast,24,0,0,244896,157436,178251,1299,70451
Maryland,2012,10.16850175,54008,5890740,West,61,1365,74172.3128,857053,71032,470427,192334,216678
Massachusetts,2012,9.267353382,62458,6657780,Northeast,68,1032,68592.89685,982397,71914,550372,24036,430921
Michigan,2012,15.54585628,40464,9886879,Midwest,342,6255,413073.0087,2186354,169440,797436,621633,804084
Minnesota,2012,16.20684393,51271,5380443,Midwest,137,5643,488859.0632,1281593,230316,618698,257875,430286
Mississippi,2012,21.03387526,31779,2985660,West,357,6487,448975.2562,989634,85153,420760,82456,499946
Missouri,2012,21.1767783,41925,6025468,Midwest,166,3654,187048.2613,1623633,81853,618070,768297,258945
Montana,2012,30.34351848,38539,1005157,South,362,7546,568863.0851,405716,127369,176561,157308,75234
Nebraska,2012,27.20944755,50624,1855973,Midwest,113,1059,49883.02485,668116,132487,239386,272587,161774
Nevada,2012,12.52325878,43345,2754874,South,229,15168,1195600.346,548427,65238,221270,52850,281432
New Hampshire,2012,11.04894607,48644,1321393,Northeast,38,224,14861.93448,224415,49800,141574,14191,74336
New Jersey,2012,11.77478985,55150,8874893,Northeast,65,1187,81828.94224,1647100,80192,984155,25589,670970
New Mexico,2012,25.70999889,40075,2084792,South,625,18869,1323674.62,745336,44015,240007,263439,249815
New York,2012,8.236862167,62828,19606981,Northeast,261,4509,273493.2335,2593481,391891,1303383,72914,1260950
North Carolina,2012,12.43456847,42655,9747021,West,123,2723,131521.3456,1654828,181480,785481,534713,367948
North Dakota,2012,79.88437413,68088,702265,Midwest,411,19984,1849126.467,678850,100207,204238,406344,77469
Ohio,2012,18.85423229,44892,11551783,Midwest,583,9638,549528.0868,2984206,134196,1136174,1019140,869934
Oklahoma,2012,27.55600982,41854,3817679,West,2791,55834,4430625.33,1567142,129917,540464,327089,712411
Oregon,2012,9.46288753,49391,3899444,South,118,1384,67249.2023,575060,501825,335872,28259,220578
Pennsylvania,2012,18.68033677,47536,12772789,Northeast,872,34796,2461632.526,3324396,189410,1191607,1093178,1079497
Rhode Island,2012,9.977261346,46210,1052393,Northeast,17,147,8417.246513,178036,5822,82600,0,98435
South Carolina,2012,15.65233267,35341,4721341,West,57,1094,56558.51432,1012652,131385,484198,298572,250482
South Dakota,2012,17.97201398,46954,834631,Midwest,54,1039,58144.22339,225164,145340,121856,35574,71501
Tennessee,2012,15.49074126,41083,6455469,West,126,3368,170449.2419,1355061,176347,676850,423086,281007
Texas,2012,23.12019886,50231,26089741,West,6982,221389,20128089.26,11054960,517837,5687562,1498818,3964121
Utah,2012,21.63605701,41921,2856343,South,461,11885,856042.754,829676,27640,282102,322055,232630
Vermont,2012,8.780360091,43045,626398,Northeast,43,452,25852.57097,84141,28158,78317,0,8290
Virginia,2012,11.92426954,51538,8193374,West,189,9554,599341.0302,1432460,130980,817901,222270,424050
Washington,2012,10.23590128,53423,6897292,South,147,2090,148198.8562,1049562,1028702,752470,42656,271947
West Virginia,2012,49.29205299,35515,1856283,West,502,36657,2532407.292,1083056,50266,192522,756716,140133
Wisconsin,2012,15.82139772,45380,5726422,Midwest,141,2238,149540.682,1283286,163795,520160,373281,410305
Wyoming,2012,115.0620365,60744,577080,South,717,28627,2133839.269,821266,54920,175008,490128,158546
Alabama,2013,25.02829398,36611,4830533,West,189,7942,505782.8322,1689491,317796,520416,565051,625869
